Firm Name,Investment Sector,Location (City),Investment Stage,URL
Foley Ventures,Diversified,"Milwaukee, WI",Early Stage Venture,www.foleyventures.com
Forté Ventures,"Technology, Telecoms, IT, High-Tech, Information Services, Marketing, Digital Media, Healthcare IT, IT Security, Telecom Media, Advertising","Atlanta, GA","Early Stage Venture, Late Stage Venture, Seed",http://www.forteventures.com
Founder Collective,"Advertising, E-Commerce, Hardware, Health Care, Internet of Things, Marketplace, Mobile, SaaS, Software","Cambridge, MA",Seed,foundercollective.com
Founder Equity,Technology,"Chicago, IL","Early Stage Venture, Seed",http://www.founderequity.com
Founders Co-Op,"Information Technology, Telecoms, Media, and Communications","Seattle, WA","Early Stage: Seed, Early Stage: Start-up",www.founderscoop.com
Freestyle Capital,"Internet, Software, Technology","San Francisco, CA","Early Stage Venture, Seed",freestyle.vc/
Frontcourt Ventures,"Healthcare, Diversified","Bedminster, NJ",Middle Innings' of Company Growth,http://www.frontcourtgroup.com
Frontier Ventures,"Internet, Digital Media","Cupertino, CA","Early Stage Venture, Seed",www.frontier.ventures
Frost Data Capital,"Technology, IT, Software, Healthcare IT","San Juan Capistrano, CA","Early Stage Venture, Seed",www.frostdatacapital.com
Fuel Capital,"Consumer, SaaS, and Cloud Infrastructure","San Francisco, CA","Early Stage Venture, Seed",fuelcapital.com
Fung Capital,"Technology, Supply Chain","San Francisco, CA","Early Stage Venture, Late Stage Venture",fungcap.com
Fusion Fund,"Technology, Telecoms, Healthcare, Transportation, Manufacturing, Media, Financial Services, Engineering, IT, High-Tech, Software, Electronics, Hardware, Semiconductors, Medical Devices, Medical Technologies, Nanotechnology, Clean Technology, Renewable Energy, Healthcare IT, IT Infrastructure, Materials","Palo Alto, CA","Early Stage Venture, Seed",www.fusionfund.com
Future Perfect Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","New York, NY",Early Stage,www.futureperfectventures.com
Fyrfly VC,Information Technology,"Menlo Park, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.fyrfly.vc
G Squared,"IT, Biotechnology, Energy, Clean Technology","San Francisco, CA",Late Stage Venture,http://gsquared.com/
G20 Ventures,"Technology, IT, Software, IT Infrastructure","Boston, MA","Early Stage Venture, Seed",http://www.g20vc.com
Galvanize (aka Upslope Ventures),"Technology, IT, Diversified, Digital Media","Denver, CO","Early Stage Venture, Seed",www.galvanize.com/venture
Gelt VC,Art,"San Francisco, CA",Seed,www.geltvc.com
gener8tor,"Technology, IT, Software, Hardware","Madison, WI","Early Stage Venture, Seed",http://www.gener8tor.com
Genoa Ventures,"Biotechnology, Life Science","San Francisco, CA",Early Stage,www.genoavc.com/
Glasswing Ventures,"AI, Technology, Automation","Boston, MA",Venture (General),www.glasswing.vc/
Go VC,"Diversified, Information Technology","Irvine, CA","Early Stage, Early Stage: Start-up",www.govc.com
GoAhead Ventures,Diversified,"Menlo Park, CA","Early Stage Venture, Seed",http://www.goaheadvc.com/
GoodAI,Information Technology,"San Francisco, CA",Venture (General),www.goodai.capital
Govtech Fund,"IT, Software, Hardware","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.govtechfund.com
GPB Capital,"Industrial, Diversified","New York, NY","Buyout, Co-Investment, Expansion / Late Stage, Growth, Special Situations",http://www.gpb-cap.com
Great North Labs and Great North Capital Fund,Technology,"Saint Cloud, MN",Early Stage,www.greatnorthlabs.com
Green Bay Advisors,"Technology, Life Sciences, Energy","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.greenbayadvisors.com
GritLabs,"Business Services, Food and Agriculture, Healthcare, Industrials, Information Technology","Menlo Park, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.gritlabs.io
GrowthX,Diversified,"San Francisco, CA",Seed,www.growthx.com
Hackers/Founders,"Consulting Services, Software, Technology","San Jose, CA","Crowdfunding, Debt, Early Stage Venture, Private Equity, Seed",www.hf.cx
Halogen Ventures,"Consumer Products, Consumer Services","Los Angeles, CA","Early Stage Venture, Seed",http://www.halogenvc.com
Hangar Ventures,"Technology, Security, AI, Healthcare, Government","New York, NY",Early Stage Ventures,http://www.hangarventures.com/
Hanover Capital,Technology,"Menlo Park, CA","Early Stage Venture, Seed",www.hnvr.com
Happiness Ventures,Technology,"Palo Alto, CA","Early Stage Venture, Seed",www.happinessvc.com/
Harbor Pacific Capital,"Technology, Consumer Products, Retail, Distribution, Consumer Services, Electronics, Internet, Education / Training, Entertainment, Digital Media, Clean Technology, Wireless","Palo Alto, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.harborpac.com/
Harrison Metal,Technology,"Palo Alto, CA",Early Stage Venture,https://www.harrisonmetal.com/
Hardware Club,Hardware,"San Francisco, CA","Early Stage Venture, Seed",www.hardwareclub.co
Haystack Fund,"Consumer Services, Software, Internet","Menlo Park, CA","Early Stage Venture, Seed",http://haystack.vc/
Healthfundr,"Healthcare, Technology, Internet, Security","Seattle, WA",Early Stage Venture,www.healthfundr.com
HealthInvest Equity Partners,Healthcare,"Stamford, CT","Seed, Early Stage, Expansion Stage, Late Stage",http://www.healthinvestequity.com
HealthX Ventures,"Healthcare, Software, Healthcare IT","Madison, WI","Early Stage Venture, Seed",http://www.healthxventures.com
Healthy Ventures,"Technology, Healthcare, Software, Healthcare IT","San Francisco, CA","Early Stage Venture, Seed",www.healthy.vc
Heartland Ventures,"Consumer Discretionary, Industrials, Information Technology","South Bend, IN","Early Stage, Early Stage: Start-up",www.heartlandvc.com
Heavybit,"Cloud Infrastructure, Developer Tools, APIs","San Francisco, CA","Early Stage Venture, Seed",www.heavybit.com
Hemi Ventures,"Autonomous Vehicles, Artificial Intelligence Applications, Biotech.","Palo Alto, CA",Early Stage Venture,https://www.hemi.vc/
Heroic Ventures,Diversified,"Menlo Park, CA","Early Stage Venture, Seed",www.heroicvc.com/
High Alpha,"IT, Internet, Business Services, Wireless","Indianapolis, IN","Early Stage Venture, Seed",http://www.highalpha.com
Highlander Fund,"AgTech, Water, Enterprise SaaS","Riverside, CA",Early Stage Venture,
Hinge Capital,"Technology, Telecoms, High-Tech, Internet, Digital Media, Telecom Media","San Diego, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.venture51.com
Homebrew,"Technology, IT, Internet","San Francisco, CA","Early Stage Venture, Seed",www.homebrew.co
House Fund,"Consumer Discretionary, Diversified, Healthcare, Information Technology, Telecoms, Media, and Communications","Berkeley, CA","Early Stage: Seed, Early Stage: Start-up",www.thehouse.fund
Human Ventures,Technology,"New York, NY",Seed,humanventures.co
Huron River Ventures,"Engineering, Software, Energy, Power, Clean Technology, Renewable Energy, Materials","Ann Arbor, MI","Early Stage Venture, Seed",www.huronriverventures.com
Hustle Fund,Technology,"San Carlos, CA",Seed,hustlefund.vc
Hyde Park Venture Partners,"Technology, Business Services, Healthcare IT","Chicago, IL","Debt, Early Stage Venture, Late Stage Venture, Seed",www.hydeparkvp.com
I2A Fund,Technology,"Chicago, IL","Debt, Early Stage Venture, Late Stage Venture, Seed",www.i2afund.com
ID Ventures Ameriva,"Technology, Diversified","Santa Clara, CA","Early Stage Venture, Late Stage Venture, Private Equity",http://idsoftcapital.com/
iFly.vc,"Technology, Commerce","Palo Alto, CA","Early Stage Venture, Seed",ifly.vc/
Ignite Farm,"Consumer Products, Consumer Services, Food, Digital Media, Gaming","Walnut Creek, CA","Early Stage Venture, Seed",www.ignitefarm.com
Illinois Ventures,"Technology, Research","Chicago, IL","Early Stage Venture, Late Stage Venture, Seed",www.illinoisventures.com
Illuminate Ventures,"Analytics, Big Data, Cloud Computing, Enterprise Software, Mobile, SaaS","Oakland, CA","Early Stage Venture, Seed",www.illuminate.com
Imaginary Ventures,"Technology, Consumer Products, Retail, Internet","New York, NY",Early Stage Venture,www.imaginary.co
Impact America Fund,"Technology, Healthcare, Financial Services, Software, Education / Training","Oakland, CA","Early Stage Venture, Seed",www.impactamericafund.com
Impact Venture Capital,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communication","Sacramento, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.impactvc.com
Inception Sciences,"Pharmaceuticals, Healthcare","San Diego, CA",Venture (General),inceptionsci.com
InCube Ventures,Healthcare,"San Jose, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.incubevc.com
IncWell,"Technology, Healthcare, Consumer Products, Industrial, Manufacturing, Software, Medical Devices, Clean Technology","Birmingham, MI","Early Stage Venture, Seed",www.theincwell.net
Indicator Ventures,Media,"New York, NY","Early Stage Venture, Seed",http://www.indicatorventures.com
Indie.vc,"Finance, Diversified","San Francisco, CA",Seed,www.indie.vc/
IndusAge Partners,"Technology, Telecoms, Healthcare, Financial Services, IT, Internet, Education / Training, Clean Technology","Menlo Park, CA","Early Stage Venture, Seed",http://www.indusage.com
Infinite Road Capital,"Business Services, Consumer Discretionary, Diversified, Information Technology","Boston, MA","Early Stage, Early Stage: Seed",www.infiniteroadcapital.com
Inner Loop Capital,Cybersecurity,"Baltimore, MD",Seed,www.innerloopcap.com
InSite Partners,"Telecom, Nanotechnology, MEMS, Battery Technology, Optical, Semiconductor, Biotech, Data Analytics, Software, Solar, Wind, Life Sciences","Cupertino, CA",Early Stage Venture,www.insitepartners.com/
Inspiration Ventures,"Information Technology, Telecoms, Media, and Communications","Burlingame, CA",Early Stage: Seed,www.inspirationventures.com
Interlock Partners,"Technology, Digital Media, Aerial Data/Analytics, Education, FinTech","Dallas, TX",Early Stage Venture,interlock.vc
Inventures,"Healthcare, Financial Services, Environmental Services, Diversified, Education / Training, Business Services","San Ramon, CA","Early Stage Venture, Seed",https://www.inventures.com/
Inventus Capital Partners,"Technology, Consumer Services, Diversified","San Mateo, CA","Early Stage Venture, Late Stage Venture, Seed",www.inventuscap.com
iResearch Capital,"Healthcare, Consumer Products, Consumer Services, Internet, Entertainment, Business Services","Mountain View, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.capital.iresearch.com.cn
iSeed Ventures,"Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.iseedvc.com
"ITR VENTURES, LLC","Digital Consumer Services, Digital Enterprise","San Francisco, CA","Early Stage Venture, Seed",www.itrventures.com
JANVEST Capital Partners,Information Technology,"New York, NY","Early Stage Venture, Seed",www.janvest.com
K5 Ventures,Technology,"Newport Beach, CA","Crowdfunding, Early Stage Venture, Private Equity, Seed",k5ventures.com/
K9 Ventures,Technology,"Palo Alto, CA","Early Stage Venture, Seed",www.k9ventures.com
Kairos VC,"Artificial Intelligence, Computer Vision, Developer APIs, Enterprise Software, Facial Recognition, Machine Learning, Mobile, SaaS, Software","Miami, FL",Early Stage Venture,www.kairos.com
Kairos Ventures,Diversified,"Beverly Hills, CA",Early Stage,http://www.kairosventures.com
Karlani Capital,"Technology, Telecoms, Retail, Financial Services, Internet, Telecom Media, Advertising","Philadelphia, PA","Buyout, Early Stage, Early Stage: Start-up",http://www.karlani.com
KdT Ventures,"Clean Technology, Food and Agriculture, Healthcare, Industrials, Information Technology, Materials","Black Mountain, NC","Early Stage, Early Stage: Seed",www.kdtvc.com
KEC Ventures,Diversified,"New York, NY","Balanced, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, pre-IPO, Venture (General)",http://www.kecventures.com
Keiretsu Capital,Technology,"Seattle, WA","Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Real Estate, Real Estate Fund of Funds, Spin-Offs, Venture (General)",www.keiretsucapital.com
Kepha Partners,"Advertising, Consumer, FinTech, SaaS, Security","Waltham, MA","Early Stage Venture, Late Stage Venture, Seed",www.kephapartners.com
Kickstart Seed Fund,"Technology, Life Science","Salt Lake City, UT","Early Stage Venture, Late Stage Venture, Seed",kickstartfund.com
KiloWatt,Technology,"San Francisco, CA",Venture (General),www.kilowattcapital.com
Kiwi Venture Partners,Technology,"New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.kiwiventurepartners.com
Kokopelli Capital,Diversified,"Boulder, CO","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.kokopelli.vc
Laconia Capital Group,B2B software (sector-agnostic within b2b),"New York, NY",Early Stage,http://Www.laconiacapitalgroup.com
L2 Capital,"Business Services, Clean Technology, Consumer Discretionary, Industrials, Information Technology","Devon, PA","Buyout, Growth",www.l2capital.net
Lakehouse,Technology,"New York, NY",Early Stage,www.lakehouse.vc
Lamp Post Group,"Transportation, Logistics","Chattanooga, TN","Early Stage, Early Stage: Start-up",www.lamppostgroup.com
Las Olas Venture Capital,"Technology, Financial Services, High-Tech, Software, Hardware, Education / Training, Healthcare IT, IT Security, IT Infrastructure","Fort Lauderdale, FL","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.lasolasvc.com
Launchpad Digital Health,"Health Care, Information Technology, Mobile","San Francisco, CA",Seed,www.launchpdh.com/
Lavrock Ventures,"Technology, Software, Defense, Business Services, IT Security","McLean, VA",Early Stage: Start-up,www.lavrockvc.com
LDV Capital,"Technology, IT, Software, Hardware","New York, NY","Early Stage, Early Stage: Start-up",http://www.ldv.co
Leap Global Partners,"Business Services, Consumer Discretionary, Diversified, Healthcare, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.leapglobalpartners.com
Lemnos Labs,"Software, Hardware","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.lemnos.vc
Liberation Capital,Clean Technology,"Waxhaw, NC","Buyout, Early Stage: Start-up, Expansion / Late Stage, Growth, Natural Resources",www.liberationcapital.com
Liberty City Ventures,"Business Services, Consumer Discretionary, Diversified, Information Technology, Telecoms, Media, and Communication","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.libertycityventures.com
LifeForce Capital,"Diversified, Healthcare","San Francisco, CA","Early Stage, Early Stage: Seed",N/A
Linse Capital,Transportation,"Menlo Park, CA",Expansion / Late Stage,www.linsecapital.com
Liquid 2 Ventures,Diversified,"San Francisco, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.liquid2.vc/
Listen Ventures,Consumer Brands,"Chicago, IL","Early Stage Venture, Seed",listen.co/
LiveOak Venture Partners,"Business Services, Information Technology","Austin, TX","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.liveoakvp.com
Longwood Fund,Biotechnology,"Boston, MA","Buyout, Early Stage: Seed, Early Stage: Start-up, Management Buyout, Recapitalisation, Venture (General)",http://www.longwoodfund.com
Loup Ventures,"Technology, IT, High-Tech, Software, Internet, Gaming","Minneapolis, MN",Early Stage,www.loupventures.com
Lowercase Capital,"Wireless, Media, Commerce, Infrastructure, Energy, Transportation","Los Angeles, CA","Early Stage Venture, Late Stage Venture, Seed",lowercasecapital.com/
Ludlow Ventures,"Consumer Products, Consumer Services, Hardware, Business Services","Detroit, MI","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.ludlowventures.com
Lumia Capital,"Business Services, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage",www.lumiacapital.com
Luminari Capital,"Digital Media, Technology","Palo Alto, Ca","Early Stage Venture, Late Stage Venture, Seed",www.luminaricapital.com
M25 Group,"Healthcare, Consumer Products, Retail, Consumer Services, Media, Financial Services, Diversified, Business Services, Telecom Media","Chicago, IL","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.m25group.com
Maiden Lane,Education,"San Francisco, CA",Seed,maidenlane.com
MainLine Investment Partners,Diversified,"Wynnewood, PA","Buyout, Early Stage, Growth, Venture (General)",http://mainlineco.com/
Manifest Growth,"Advertising, Business Services, High-Tech, Internet, Marketing, Software, Technology","Tiburon, CA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.manifestgrowth.com
Marcy VP,Diversified,"San Francisco, CA","Early Stage Venture, Seed",www.oakhousepartners.com
Mark 2 Capital,"Business Services, Information Technology","New York, NY",Venture Debt,www.mk2c.com/
Marker,Diversified,"New York, NY","Early Stage Venture, Late Stage Venture, Seed",http://www.marker-llc.com
Material Impact Fund,Technology,"Lexington, MA",Venture (General),www.materialimpactfund.com
Math Venture Partners (MVP),"Technology, Food, Diversified","Chicago, IL","Early Stage Venture, Seed",www.mathventurepartners.com/
Matter,Media,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.matter.vc
Maven Ventures,"Technology, Telecoms, Consumer Products, Consumer Services, Internet, Digital Media","Palo Alto, CA","Early Stage: Seed, Early Stage: Start-up",http://www.mavenventures.com
Maxfield Capital,"Technology, IT, Software, Internet","New York, NY","Early Stage, Early Stage: Seed",http://www.maxfieldcapital.com
McCune Capital,"Technology, Industrial, Distribution, Transportation, Manufacturing, Construction, Media, High-Tech, Software, Logistics, Infrastructure, Clean Technology, Shipping, Property","Brooklyn, NY","Early Stage, Early Stage: Seed",www.mccune.vc
MedMen,"Pharmaceuticals, Healthcare, Agriculture","Culver City, CA",Venture (General),https://medmenmanagement.com
MentorTech Ventures,"Healthcare, Information Technology, Materials, Telecoms, Media, and Communications","Philadelphia, PA","Early Stage, Early Stage: Seed, Venture (General)",www.mentortechventures.com
MESA+,"Business Services, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.mesa.vc
MHS Capital,"Technology, Software, Internet","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.mhscapital.com
Michigan Angel Fund,"Manufacturing, IT, Life Sciences, Clean Technology","Ann Arbor, MI","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.miangelfund.com
Mighty Capital,"Technology, Healthcare, Consumer Services, Diversified","San Francisco, CA",Venture (General),mighty.capital/
Militello Capital,"Technology, IT, High-Tech, Software, Internet, Computer Services, Digital Media, Network","Leesburg, VA","Early Stage, Early Stage: Seed, Venture (General)",http://www.militellocapital.com
Mindset Ventures,"Technology, Healthcare, Financial Services, Agriculture, Education / Training, Healthcare IT, IT Security","Mountain View, CA","Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",http://www.mindset.ventures/
Miramar,"Medical Devices, Healthcare","Sunnyvale, CA","Series B/Round 2, Venture Debt, Venture Debt, Series C/Round 3, Venture Debt, Series D/Round 4, Unspecified Round, Venture Debt, PIPE",www.miramarlabs.com
MissionOG,"Technology, Software","Philadelphia, PA","Early Stage, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",www.missionog.com
Moderne Ventures,"Technology, Construction, Media, Financial Services, IT, Internet, Information Services, Business Services, Marketing, Digital Media, Insurance, Property, Hotels and Offices","Chicago, IL","Early Stage, Early Stage: Start-up",www.moderneventures.com
Moment Ventures,"Artificial Intelligence, Information Technology, Infrastructure, Internet of Things, Marketplace, Robotics, SaaS, Venture Capital","Palo Alto, CA","Early Stage Venture, Seed",www.momentventures.com
Moneta Ventures,"Technology, Healthcare, Consumer Services, IT, Software, Internet, Information Services, Medical Technologies, Healthcare IT, Gaming","Folsom, CA","Early Stage, Early Stage: Start-up",www.monetaventures.com
Monstro.VC,Information Technology,"Oakland, CA",Early Stage,www.monstro.vc/
Monta Vista Capital,"Technology, Software","Sunnyvale, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.montavc.com
Montage,"Enterprise Software, SaaS, Video","Delafield, WI",Late Stage Venture,montagetalent.com
Montage Ventures,"Business Services, Consumer Discretionary, Energy and Utilities, Food and Agriculture, Healthcare, Industrials, Real Estate","Palo Alto, Ca","Early Stage, Early Stage: Start-up, Venture (General)",www.montageventures.com
Moonshots Capital,"Technology, Cybersecurity, Finance, SaaS","Los Angeles, CA","Early Stage Venture, Seed",www.moonshotscapital.com/
Morado Venture Partners,"Media, Internet, Network, Gaming","Palo Alto, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.moradoventures.com
Mosaik Partners,"Business Services, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.mosaikpartners.com
Mosley Ventures,"Technology, Communications, IT, Software, Internet, Digital Media, Wireless, Healthcare IT, IT Security","Atlanta, GA",Early Stage: Start-up,http://www.mosleyventures.com
Motus Ventures,IT,"Redwood City, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Spin-Offs",www.motusventures.com
Mucker Capital,"Business Services, Information Technology, Telecoms, Media, Communications","Santa Monica, CA","Early Stage: Seed, Early Stage: Start-up, Spin-Offs, Venture (General)",www.muckercapital.com
Muse Capital,"FinTech, Healthcare, Entertainment","Los Angeles, CA",Early Stage Venture,www.musecapitallabs.com
Nebraska Global,Software,"Lincoln, NE","Spin-Offs, Venture (General)",www.nebraskaglobal.com
New Age Capital,Technology,"New York, NY",Venture (General),www.newage.vc/
New Crop Capital,"Agriculture, Food","Washington, D.C.","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.newcropcapital.com
New Ground Ventures,"Technology, Healthcare, Software, Internet, Leisure, Education / Training, Food","Westport, CT","Early Stage, Early Stage: Start-up",www.ngv.us
New Market Ventures,"Business Services, Consumer Discretionary, Healthcare, Information Technology","Fulton, MD","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.newmarketsvp.com
New Richmond Ventures,Diversified,"Richmond, VA","Early Stage, Early Stage: Start-up, Expansion / Late Stage",www.nrv.vc
NewSchools Venture Fund,Education,"Oakland, CA","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",newschools.org
Next 10 Ventures,"Digital Entertainment, Financial Services","Los Angeles, CA",Early Stage: Start-up,http://www.next10ventures.com
Next Coast Ventures,"Technology, Retail, Software, Internet, Education / Training, Business Services, Digital Media, Wireless","Austin, TX",Early Stage: Start-up,http://www.nextcoastventures.com/
Next Frontier Capital,"Technology, Healthcare, Software","Bozeman, MT","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.nextfrontiercapital.com/
Next Level Ventures,"Technology, Manufacturing, IT, Life Sciences, Biotechnology, Software, Computer Services, Biomedical, Business Services, Medical Devices, Medical Technologies, Clean Technology","Des Moines, IA","Expansion / Late Stage, Growth",http://www.nextlevelvc.com
Next Wave Ventures,"Technology, Healthcare, Consumer Products, Financial Services, Environmental Services, Agriculture, Energy, Education / Training, Food, Clean Technology","Longmont, CO","Early Stage: Seed, Early Stage: Start-up",http://www.nextwave.ventures
NextGen Venture Partners,"Consumer Products, Consumer Services, Software, Education / Training, Business Services, Digital Media, Network, IT Security, Telecom Media","Arlington, VA","Early Stage, Early Stage: Seed",http://www.nextgenvp.com
NextView Ventures,"Technology, IT, Software","Boston, MA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.nextviewventures.com
Nohovation,Diversified,"Lower Manhattan, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.illannpower.com/
NoName Ventures,Information Technology,"Los Angeles, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth",www.noname.ventures
Noro-Moseley Partners,"Technology, Healthcare, Business Services","Atlanta, GA","Early Stage Venture, Late Stage Venture, Seed",www.noromoseley.com
North Base Media,Media,"Washington, D.C.","Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture (General)",http://www.northbasemedia.com
Notation Capital,Diversified,"Brooklyn, NY","Early Stage, Early Stage: Seed, Venture (General)",www.notationcapital.com
Nya Alpha Venture Partners,"Business Development, Financial Services","New York, NY",Early Stage Venture,https://www.alphavp.com/home/nya/
NYCA Partners,"Technology, Financial Services","New York, NY","Early Stage, Early Stage: Start-up, Venture (General)",http://www.nyca.com
Oakhouse Partners,"Business Services, Consumer Discretionary, Diversified, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage",www.oakhousepartners.com
Off the grid Ventures,"Enterprise, FinTech","San Francisco, CA","Pre-Seed, Seed",https://www.otgventures.com
Okapi Ventures,Information Technology,"Laguna Beach, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.okapivc.com
ONEVC,Diversified,"San Francisco, CA",Early Stage,https://www.oneventures.vc
OneTen Capital,"Technology, Engineering","Buffalo, NY","Early Stage, Early Stage: Start-up",https://onetencapital.com/
Orbis Capital,"Consumer Discretionary, Information Technology","San Francisco, CA",Early Stage: Start-up,www.orbis.vc/
Origin Ventures,"Software, Digital Content, Online Marketplace","Chicago, IL","Early Stage Venture, Late Stage Venture, Seed",www.originventures.com
OS Fund,"Advanced Materials, Artificial Intelligence, Bioinformatics, Biotechnology, Genetics, Life Science, Robotics",,Venture (General),osfund.co
OVAL PARTNERS,"Business Services, Consumer Discretionary, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Buyout, Growth",www.ovalpartners.com
PALgenesis,"Technology, Communications, Media, Advertising","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.palgenesis.com
Parable Ventures,N/A,"Mountain View, CA",N/A,parable.it
Parade Ventures,Diversified,"Los Gatos, CA","Early Stage, Early Stage: Seed",www.parade.vc
Pathbreaker Ventures,"Technology, Consumer Services, Business Services, Telecom Media","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.pathbreakervc.com
Peak Ventures,"Technology, Consumer Products, Retail, Financial Services, Hardware, Computer Services, Education / Training, Business Services, Marketing, Gaming","Provo, UT","Early Stage, Early Stage: Seed",www.peakventures.vc
PeakSpan Capital,"B2B, Enterprise Software, Information Technology","Burlingame, CA",Early Stage Venture,www.peakspancapital.com/
Pear VC,"Technology, Life Sciences","Palo Alto, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.pear.vc
Pear Ventures,"Technology, Diversified","Palo Alto, CA","Early Stage Venture, Seed",www.pear.vc/
Pereg Ventures,"Technology, Media, Internet, Marketing, Gaming, Advertising","New York, NY","Early Stage, Venture (General)",www.peregventures.com
Peterson Ventures,"Clean Technology, Diversified","Salt Lake City, UT","Early Stage Venture, Seed",www.petersonpartners.com/ventures/
Phyto Partners,"Pharmaceuticals, Healthcare, Consumer Services, IT, Life Sciences, Biotechnology, High-Tech, Electronics, Internet, Environmental Services, Medical Instruments, Information Services, Biomedical, Logistics, Business Services, Marketing, Medical Technologies, Healthcare IT, IT Security, IT Infrastructure","Boca Raton, FL","Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, pre-IPO, Venture (General), Venture Debt",http://www.phytopartners.com
Pilot Group,"Digital Media, E-Commerce","Sarasota, FL","Early Stage Venture, Private Equity, Seed",http://www.pipeline.vc/
Pioneer Square Labs,Technology,"Seattle, WA","Early Stage, Early Stage: Seed, Early Stage: Start-up",http://www.psl.com
Pipeline Capital Partners,"Diversified, Information Technology","Menlo Park, CA","Early Stage: Seed, Venture (General)",www.pipeline.vc/
PivotNorth Capital,Software,"Menlo Park, CA","Early Stage, Early Stage: Seed, Growth",http://www.pivotnorth.com/
Plus Capital,Diversified,"Culver City, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",http://www.pluscapital.com
Point Judith Capital (PJC),"Energy, Hardware, Information Technology, Internet","Boston, MA","Debt, Early Stage Venture, Late Stage Venture, Seed",pjc.vc/
